ev_id,trip_index,location_zone,location_type,arrival_min,departure_min,charged_kwh,deferrable_kwh,max_delay_min
1,1,2,H,1083.9201273061224,1440,5.456734694211731,5.456734694211731,310.6070835754465
2,0,4,O,1042.9048193469387,1252,7.616066686961981,7.616066686961981,167.55299872417777
3,1,19,H,1054.7276188244898,1440,9.304406045316014,9.304406045316014,307.7356641312101
6,1,11,H,1081.4027199346938,1440,8.85136159494214,8.85136159494214,284.8359334407885
8,1,2,H,1087.9894832979592,1440,13.010849692179733,13.010849692179733,243.58676926720977
9,1,16,H,1063.0040556734693,1440,6.945311890594825,6.945311890594825,319.1183452382404
10,0,3,W,452.6087268163265,1055,8.922276111553845,8.922276111553845,553.7243125751979
11,0,14,W,501.3578156122449,1067,14.009322619651014,14.009322619651014,489.22769737147684
12,1,24,H,1081.9401387755101,1440,3.4041836633469753,3.4041836633469753,329.69166402993164
14,1,2,H,1043.3562949959185,1440,9.578982358538333,9.578982358538333,316.8188520162621
16,1,9,H,1031.268452579592,1440,8.173963975749544,8.173963975749544,340.61518095582846
17,1,5,H,1074.268511989796,1440,3.210014494450137,3.210014494450137,338.9813672231196
20,1,9,H,1328.671932655102,1440,6.736315249386584,6.623052832001182,55.19210693334321
21,1,17,H,1069.8779470367347,1440,7.581743386445037,7.581743386445037,306.9408580762233
22,1,4,H,1072.172187910204,1440,5.151815908805151,5.151815908805151,324.8960128497531
23,1,17,H,1058.6860592346939,1440,9.152769807302,9.152769807302,305.04085903778946
25,1,22,H,1051.3115264285714,1440,6.491563914071078,6.491563914071078,334.59210762083626
26,0,19,W,469.66198731428574,1061,10.919933024506278,10.919933024506278,531.7747416429528
26,1,11,H,1092.7002727020408,1440,4.458783699363126,4.458783699363126,310.1431964699332
27,0,15,O,1020.7507492346939,1239,13.353705192058264,13.353705192058264,145.41085880862477
28,1,22,H,1204.2538808673469,1440,4.055193689053292,4.055193689053292,201.9528383905424
29,0,4,W,466.83096679591836,1054,7.254089446865594,7.254089446865594,547.6012725848148
29,1,15,H,1067.8367020612245,1440,1.8451420184389917,1.8451420184389917,356.78711445178396
30,1,21,H,1064.3286601632653,1440,1.886755860590874,1.886755860590874,359.9483743318108
31,1,9,H,1054.3660447346938,1440,5.8675529065936285,5.8675529065936285,336.73768104369265
34,0,9,W,462.6087928163265,1019,9.26717317064339,9.26717317064339,505.842989889255
36,1,9,H,1049.3139165714285,1440,4.058986096830225,4.058986096830225,356.86119928831954
38,1,22,H,1055.9210977755101,1440,5.950995918281526,5.950995918281526,334.48726957214376
39,1,24,H,1042.0857024,1440,3.2823894131453955,3.2823894131453955,370.56105249045504
40,0,18,O,443.72045595918365,693,10.743100673684939,10.743100673684939,190.680813093444
41,1,10,H,1092.2925635918368,1440,8.240192122385874,8.240192122385874,279.03916872161426
42,0,11,O,675.8018614693877,799,7.990610415641884,7.990610415641884,79.61299080892923
43,0,3,W,478.7549331632653,1063,7.542171726878021,7.542171726878021,543.105948326491
43,1,9,H,1066.7617857142857,1440,0.501390978775305,0.501390978775305,369.05995612925335
44,0,3,W,478.3519871020408,1031,8.340659404559378,8.340659404559378,507.15350705490806
44,1,13,H,1050.3270488,1440,2.8146888688735636,2.8146888688735636,366.21721062605366
46,1,9,H,1077.3609798040816,1440,6.493325276142251,6.493325276142251,308.52797622806634
47,1,19,H,1100.6083133061225,1440,8.247774924050246,8.247774924050246,270.66022899345876
48,0,19,W,450.6883556,1067,7.227547064393168,7.227547064393168,576.8886604124009
48,1,3,H,1089.7030886857142,1440,3.3798888061186734,3.3798888061186734,322.1311712632969
