ev_id,trip_index,fcs_zone,arrival_min,departure_min,charged_kwh,cost
0,1,9,1054.0,1062.9448420424922,13.744842042492092,5.497936816996839
11,1,14,1067.0,1076.209317738983,14.009317738983,5.603727095593203
13,0,3,616.0,623.7185645207762,12.51856452077621,5.007425808310486
15,0,19,809.0,815.1751680637416,10.975168063741545,4.390067225496621
18,0,11,449.7545711734694,458.7436443533549,13.789073179885518,5.51562927195421
19,0,20,427.0,435.9898398372542,13.789839837254176,5.515935934901673
27,1,15,1239.0,1247.5537050738199,13.353705073819878,5.3414820295279535
32,0,13,413.36069394285715,421.39412868231693,12.833434739459783,5.133373895783915
33,1,1,1265.0,1273.8860984360501,13.686098436050129,5.474439374420054
35,1,11,1024.0,1031.5138280365036,12.31382803650363,4.925531214601454
37,0,2,528.0,534.9249939433286,11.724993943328533,4.6899975773314155
40,1,18,693.0,698.9430997496968,10.743099749696798,4.297239899878721
45,0,16,459.0,467.27979893619846,13.079798936198468,5.23191957447939
49,0,10,463.3536522244898,472.7275570756462,14.17390485115641,5.669561940462566
51,1,8,1031.0,1034.7860865572743,8.586086557274278,3.4344346229097127
53,1,1,1069.0,1072.0972606678488,7.897260667848856,3.158904267139544
59,1,4,1061.0,1068.7332175078016,12.533217507801623,5.013287003120651
70,0,9,443.0,452.2414573880075,14.041457388007544,5.61658295520302
72,0,17,458.0,466.78066433605983,13.58066433605983,5.432265734423934
75,0,14,471.00412163265304,478.8064090448124,12.60228741215938,5.040914964863755
77,1,9,1074.0,1083.5861996277313,14.38619962773122,5.754479851092491
79,1,21,1071.7513301020408,1080.0478727112363,13.096542609195495,5.2386170436782
80,1,11,1074.0,1078.7303216287364,9.53032162873632,3.81212865149453
81,1,18,1033.3612672,1037.6253580392272,9.064090839227182,3.6256363356908747
84,1,1,1168.0,1174.1798581590094,10.97985815900947,4.391943263603791
85,0,15,970.0,979.1650815061884,13.965081506188376,5.5860326024753535
86,1,14,1091.0004040816327,1096.2720821488174,10.071678067184578,4.028671226873834
87,0,15,711.0,719.0358295000183,12.835829500018278,5.134331800007313
89,1,21,1083.0,1087.917849088949,9.717849088948958,3.887139635579585
92,1,10,1053.0,1060.8668499383014,12.666849938301468,5.06673997532059
94,1,18,1104.0,1107.7034782526985,8.503478252698507,3.4013913010794044
95,1,3,1297.0,1300.522976572723,8.322976572723125,3.3291906290892515
96,1,12,1039.0,1043.3814644279332,9.181464427933314,3.672585771173327
97,1,9,1031.0,1035.604081596894,9.404081596894166,3.761632638757668
100,0,9,446.0,455.4959585457891,14.295958545789137,5.718383418315658
101,0,22,985.0,993.7236479028531,13.52364790285312,5.409459161141251
105,1,15,1214.0,1219.8563563787995,10.656356378799522,4.262542551519811
106,1,7,1076.0,1078.4452950544016,7.245295054401575,2.8981180217606313
107,0,10,445.0,453.476156642295,13.276156642294985,5.310462656917997
108,0,11,462.75175943877554,471.8824077520201,13.93064831324454,5.572259325297819
110,0,3,458.0,466.81905170583775,13.619051705837766,5.447620682335109
114,1,4,1067.351357377551,1073.385472589264,10.834115211712984,4.333646084685196
115,0,1,439.0,447.4593480038265,13.259348003826512,5.3037392015306075
124,1,4,1068.9215462857144,1075.8884961310316,11.766949845317273,4.706779938126911
125,0,3,457.360580877551,464.9523151927223,12.39173431517135,4.956693726068543
